column,dtype,rows,bytes,compressed_bytes,ratio,decode_ms_min,decode_ms_median,decode_ms_mean,decode_gbps_median,metadata_ms,decode_only_ms_median,decode_only_gbps_median
l_orderkey,i64,99988837,799910696,31170143,25.6627,13.6293,13.8634,13.9492,57.6996,1.74407,12.1193,66.0031
l_partkey,i32,99988837,399955348,369620663,1.08207,13.3339,15.0729,14.8705,26.5347,1.74407,13.3289,30.0067
l_suppkey,i32,99988837,399955348,312939251,1.27806,14.1414,14.3484,14.5337,27.8745,1.74407,12.6043,31.7316
l_linenumber,i32,99988837,399955348,26357570,15.1742,12.0057,13.7671,13.8602,29.0515,1.74407,12.023,33.2658
l_quantity,dec64,99988837,799910696,75382489,10.6114,12.314,13.2655,13.397,60.3002,1.74407,11.5214,69.4283
l_extendedprice,dec64,99988837,799910696,305346125,2.61969,13.8336,14.3298,14.3345,55.8215,1.74407,12.5857,63.557
l_discount,dec64,99988837,799910696,50355693,15.8852,11.5943,13.8383,13.638,57.8043,1.74407,12.0942,66.1401
l_tax,dec64,99988837,799910696,50354187,15.8857,13.1658,13.6062,14.0923,58.7904,1.74407,11.8621,67.4343
l_returnflag,str,99988837,499944189,24537571,20.3746,14.0546,15.3865,15.2921,32.4923,1.74407,13.6425,36.6462
l_linestatus,str,99988837,499944189,15722751,31.7975,15.0817,15.2474,15.3197,32.7888,1.74407,13.5033,37.0237
l_shipdate,date,99988837,399955348,151286785,2.64369,13.0325,14.1755,14.0154,28.2146,1.74407,12.4314,32.173
l_commitdate,date,99988837,399955348,151264245,2.64408,13.7799,14.1718,14.205,28.2219,1.74407,12.4277,32.1825
l_receiptdate,date,99988837,399955348,151295721,2.64353,13.6486,14.8026,14.9311,27.0192,1.74407,13.0586,30.6278
l_shipinstruct,str,99988837,1599743327,25347032,63.1136,15.5061,16.2193,16.3606,98.6323,1.74407,14.4752,110.516
l_shipmode,str,99988837,828469947,37844441,21.8915,14.5972,15.0636,15.1253,54.9981,1.74407,13.3195,62.1996
l_comment,str,99988837,3049724127,1171938420,2.60229,30.8718,31.4129,31.4787,97.0851,1.74407,29.6688,102.792
TOTAL,(all),99988837,12877111347,2950763087,4.36399,234.591,248.571,249.403,51.8045,27.9052,220.666,58.3557
