column,dtype,rows,bytes,compressed_bytes,ratio,decode_ms_min,decode_ms_median,decode_ms_mean,decode_gbps_median,metadata_ms,decode_only_ms_median,decode_only_gbps_median
o_orderkey,i64,99999964,799999712,3304536,242.091,9.55293,10.0952,10.4421,79.2459,0.777253,9.31791,85.8561
o_custkey,i32,99999964,399999856,410585565,0.974218,11.7204,12.5995,12.784,31.7472,0.777253,11.8223,33.8344
o_orderstatus,str,99999964,499999824,25370046,19.7083,9.30465,9.88553,10.1959,50.579,0.777253,9.10828,54.8951
o_totalprice,dec64,99999964,799999712,330148143,2.42315,8.91094,9.63165,9.76645,83.0594,0.777253,8.8544,90.3505
o_orderdate,date,99999964,399999856,151083896,2.64753,8.54367,9.22497,9.3673,43.3606,0.777253,8.44772,47.3501
o_orderpriority,str,99999964,1240030274,37846794,32.7645,10.4374,11.6847,11.7531,106.124,0.777253,10.9075,113.686
o_clerk,str,99999964,1899999320,730536480,2.60083,43.8281,44.3152,44.4024,42.8747,0.777253,43.5379,43.6401
o_shippriority,i32,99999964,399999856,147288,2715.77,7.81713,8.69209,8.94964,46.0188,0.777253,7.91484,50.538
o_comment,str,99999964,5250026621,1800918632,2.91519,38.1892,38.4076,38.6213,136.692,0.777253,37.6303,139.516
TOTAL,(all),99999964,11690055031,3489941380,3.34964,148.304,154.536,156.282,75.646,6.99527,147.541,79.2325
