column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
l_orderkey,i64,99988837,799910696,64543602,12.3933,1.43957,1.44602,1.44723,553.18,0.665549,0.669774,0.669343,1194.3,1
l_partkey,i32,99988837,399955348,350839758,1.13999,1.6559,1.66698,1.66787,239.928,0.559271,0.560837,0.561272,713.139,1
l_suppkey,i32,99988837,399955348,300845338,1.32944,1.47645,1.48052,1.48007,270.145,0.530224,0.533144,0.533122,750.183,1
l_linenumber,i32,99988837,399955348,38374642,10.4224,1.06297,1.06628,1.06703,375.093,0.377482,0.378641,0.378748,1056.29,1
l_quantity,t26,99988837,799910696,77042206,10.3828,1.45203,1.45944,1.4605,548.093,0.669677,0.67365,0.67437,1187.43,1
l_extendedprice,t26,99988837,799910696,301235922,2.65543,1.95254,1.95547,1.95668,409.064,0.806653,0.815024,0.814428,981.457,1
l_discount,t26,99988837,799910696,51263830,15.6038,1.38504,1.38911,1.39034,575.844,0.65291,0.655423,0.656105,1220.45,1
l_tax,t26,99988837,799910696,51263830,15.6038,1.38382,1.38927,1.38956,575.778,0.652917,0.65744,0.657122,1216.7,1
l_returnflag,str,99988837,499944189,25876057,19.3207,5.58875,5.61965,5.61399,88.9636,1.05913,1.06599,1.06624,468.995,1
l_linestatus,str,99988837,499944189,13377448,37.3722,6.21666,6.23581,6.2431,80.1731,1.01945,1.03114,1.02965,484.845,1
l_shipdate,t12,99988837,399955348,150862082,2.65113,1.10924,1.11648,1.11757,358.228,0.442236,0.445976,0.445919,896.808,1
l_commitdate,t12,99988837,399955348,150862082,2.65113,1.10259,1.11847,1.11727,357.59,0.445293,0.446778,0.446977,895.199,1
l_receiptdate,t12,99988837,399955348,150862082,2.65113,1.11211,1.1165,1.11713,358.223,0.443568,0.446868,0.446598,895.019,1
l_shipinstruct,str,99988837,1599743327,25876111,61.8232,7.19924,7.21467,7.2147,221.735,5.41576,5.43484,5.43606,294.349,1
l_shipmode,str,99988837,828469947,591875197,1.39974,2.94827,2.95392,2.95627,280.465,2.18941,2.19241,2.19217,377.881,1
l_comment,str,99988837,3049724127,1245937532,2.44773,200.86,201.002,201.263,15.1726,16.1204,16.1537,16.2345,188.794,1
TOTAL,(all),99988837,12877111347,3590937719,3.586,237.945,238.23,238.502,54.0532,32.05,32.1616,32.2426,400.388,1
