column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
o_orderkey,i64,99999964,799999712,64550789,12.3933,1.45214,1.45647,1.45761,549.273,0.667437,0.670124,0.671673,1193.81,1
o_custkey,i32,99999964,399999856,350878801,1.13999,1.66216,1.66472,1.66525,240.28,0.560029,0.562766,0.563213,710.775,1
o_orderstatus,str,99999964,499999824,25878936,19.3207,5.58977,5.60383,5.60234,89.2247,1.0668,1.0743,1.07614,465.42,1
o_totalprice,t26,99999964,799999712,326269437,2.45196,2.02179,2.03048,2.02972,393.996,0.821092,0.825493,0.830168,969.117,1
o_orderdate,t12,99999964,399999856,150878873,2.65113,1.10142,1.10955,1.10882,360.506,0.445353,0.447436,0.447386,893.982,1
o_orderpriority,str,99999964,1240030274,38378984,32.3101,6.81206,6.8322,6.86322,181.498,4.86097,4.88531,4.88468,253.828,1
o_clerk,str,99999964,1899999320,258649309,7.34585,25.6133,25.6769,25.6944,73.9963,8.31932,8.32964,8.32854,228.101,1
o_shippriority,i32,99999964,399999856,878925,455.101,0.588949,0.592971,0.593757,674.57,0.302208,0.304515,0.304718,1313.56,1
o_comment,str,99999964,5250026621,5650026484,0.929204,7.76467,7.76996,7.76872,675.683,7.73527,7.74269,7.74206,678.062,1
TOTAL,(all),99999964,11690055031,6866390538,1.7025,52.6063,52.7371,52.7839,221.667,24.7785,24.8423,24.8486,470.571,1
